ganloss 131 tf.Tensor(-0.59716725, shape=(), dtype=float32)
ganloss 132 tf.Tensor(-0.6035502, shape=(), dtype=float32)
ganloss 133 tf.Tensor(-0.5969156, shape=(), dtype=float32)
ganloss 134 tf.Tensor(-0.6008646, shape=(), dtype=float32)
ganloss 135 tf.Tensor(-0.5990086, shape=(), dtype=float32)
ganloss 136 tf.Tensor(-0.6067266, shape=(), dtype=float32)
ganloss 137 tf.Tensor(-0.59426004, shape=(), dtype=float32)
ganloss 138 tf.Tensor(-0.593977, shape=(), dtype=float32)
ganloss 139 tf.Tensor(-0.6001308, shape=(), dtype=float32)
ganloss 140 tf.Tensor(-0.5979465, shape=(), dtype=float32)
ganloss 141 tf.Tensor(-0.59598404, shape=(), dtype=float32)
ganloss 142 tf.Tensor(-0.6036545, shape=(), dtype=float32)
ganloss 143 tf.Tensor(-0.5958671, shape=(), dtype=float32)
ganloss 144 tf.Tensor(-0.5977396, shape=(), dtype=float32)
ganloss 145 tf.Tensor(-0.5945299, shape=(), dtype=float32)
ganloss 146 tf.Tensor(-0.6024226, shape=(), dtype=float32)
ganloss 147 tf.Tensor(-0.5989406, shape=(), dtype=float32)
ganloss 148 tf.Tensor(-0.598074, shape=(), dtype=float32)
ganloss 149 tf.Tensor(-0.5987545, shape=(), dtype=float32)
ganloss 150 tf.Tensor(-0.59958994, shape=(), dtype=float32)
ganloss 151 tf.Tensor(-0.60122705, shape=(), dtype=float32)
ganloss 152 tf.Tensor(-0.5981299, shape=(), dtype=float32)
ganloss 153 tf.Tensor(-0.5958403, shape=(), dtype=float32)
ganloss 154 tf.Tensor(-0.593836, shape=(), dtype=float32)
ganloss 155 tf.Tensor(-0.5933275, shape=(), dtype=float32)
ganloss 156 tf.Tensor(-0.58787674, shape=(), dtype=float32)
ganloss 157 tf.Tensor(-0.5808439, shape=(), dtype=float32)
ganloss 158 tf.Tensor(-0.57911104, shape=(), dtype=float32)
ganloss 159 tf.Tensor(-0.57599026, shape=(), dtype=float32)
ganloss 160 tf.Tensor(-0.5741535, shape=(), dtype=float32)
ganloss 161 tf.Tensor(-0.57088745, shape=(), dtype=float32)
ganloss 162 tf.Tensor(-0.5681356, shape=(), dtype=float32)
ganloss 163 tf.Tensor(-0.5643434, shape=(), dtype=float32)
ganloss 164 tf.Tensor(-0.5600872, shape=(), dtype=float32)
ganloss 165 tf.Tensor(-0.55606294, shape=(), dtype=float32)
ganloss 166 tf.Tensor(-0.55405915, shape=(), dtype=float32)
ganloss 167 tf.Tensor(-0.5479055, shape=(), dtype=float32)
ganloss 168 tf.Tensor(-0.5450631, shape=(), dtype=float32)
ganloss 169 tf.Tensor(-0.5403539, shape=(), dtype=float32)
ganloss 170 tf.Tensor(-0.53700817, shape=(), dtype=float32)
ganloss 171 tf.Tensor(-0.5334964, shape=(), dtype=float32)
ganloss 172 tf.Tensor(-0.53069335, shape=(), dtype=float32)
ganloss 173 tf.Tensor(-0.52974737, shape=(), dtype=float32)
ganloss 174 tf.Tensor(-0.5240322, shape=(), dtype=float32)
ganloss 175 tf.Tensor(-0.52130395, shape=(), dtype=float32)
ganloss 176 tf.Tensor(-0.5167928, shape=(), dtype=float32)
ganloss 177 tf.Tensor(-0.5128161, shape=(), dtype=float32)
ganloss 178 tf.Tensor(-0.51117754, shape=(), dtype=float32)
ganloss 179 tf.Tensor(-0.50882757, shape=(), dtype=float32)
ganloss 180 tf.Tensor(-0.50303805, shape=(), dtype=float32)
ganloss 181 tf.Tensor(-0.5014555, shape=(), dtype=float32)
ganloss 182 tf.Tensor(-0.49806464, shape=(), dtype=float32)
ganloss 183 tf.Tensor(-0.49427286, shape=(), dtype=float32)
ganloss 184 tf.Tensor(-0.49231705, shape=(), dtype=float32)
ganloss 185 tf.Tensor(-0.49140018, shape=(), dtype=float32)
ganloss 186 tf.Tensor(-0.49121684, shape=(), dtype=float32)
ganloss 187 tf.Tensor(-0.48894718, shape=(), dtype=float32)
ganloss 188 tf.Tensor(-0.48914537, shape=(), dtype=float32)
ganloss 189 tf.Tensor(-0.48757714, shape=(), dtype=float32)
ganloss 190 tf.Tensor(-0.4849788, shape=(), dtype=float32)
ganloss 191 tf.Tensor(-0.48236185, shape=(), dtype=float32)
ganloss 192 tf.Tensor(-0.47928345, shape=(), dtype=float32)
ganloss 193 tf.Tensor(-0.4760842, shape=(), dtype=float32)
ganloss 194 tf.Tensor(-0.47236857, shape=(), dtype=float32)
ganloss 195 tf.Tensor(-0.4695227, shape=(), dtype=float32)
ganloss 196 tf.Tensor(-0.46794268, shape=(), dtype=float32)
ganloss 197 tf.Tensor(-0.46421966, shape=(), dtype=float32)
ganloss 198 tf.Tensor(-0.46061525, shape=(), dtype=float32)
ganloss 199 tf.Tensor(-0.4583826, shape=(), dtype=float32)
ganloss 200 tf.Tensor(-0.45587152, shape=(), dtype=float32)
